date,airline,ch_code,flight_number,from,to,via_city,route,stop_count,arr_hour,arr_period,dep_hour,dep_period,duration_mins,days_left,price
2022-02-11,Air India,AI,868,Delhi,Mumbai,,Delhi-Mumbai,0,20,Night,18,Evening,120,1,25612
2022-02-11,Air India,AI,624,Delhi,Mumbai,,Delhi-Mumbai,0,21,Night,19,Evening,135,1,25612
2022-02-11,Air India,AI,531,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,20,Night,1485,1,42220
2022-02-11,Air India,AI,839,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,21,Night,1590,1,44450
2022-02-11,Air India,AI,544,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,17,Evening,400,1,46690
2022-02-11,Vistara,UK,985,Delhi,Mumbai,,Delhi-Mumbai,0,22,Night,19,Evening,130,1,50264
2022-02-11,Air India,AI,479,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,21,Night,1065,1,50669
2022-02-11,Air India,AI,473,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,18,Evening,1365,1,51059
2022-02-11,Vistara,UK,871,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,20,Night,1075,1,51731
2022-02-11,Vistara,UK,977,Delhi,Mumbai,,Delhi-Mumbai,0,21,Night,19,Evening,135,1,53288
2022-02-11,Air India,AI,504,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,21,Night,660,1,56081
2022-02-11,Air India,AI,807,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,17,Evening,915,1,56081
2022-02-11,Air India,AI,540,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,20,Night,685,1,57074
2022-02-11,Air India,AI,537,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,16,Afternoon,950,1,57074
2022-02-11,Air India,AI,540,Delhi,Mumbai,,Delhi-Mumbai,1,18,Evening,20,Night,1295,1,57074
2022-02-11,Air India,AI,537,Delhi,Mumbai,,Delhi-Mumbai,1,18,Evening,16,Afternoon,1560,1,57074
2022-02-11,Vistara,UK,817,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,16,Afternoon,345,1,57868
2022-02-11,Vistara,UK,817,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,16,Afternoon,970,1,57868
2022-02-11,Vistara,UK,817,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,16,Afternoon,1690,1,57868
2022-02-11,Vistara,UK,817,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,16,Afternoon,1160,1,59996
2022-02-11,Air India,AI,762,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,20,Night,1430,1,61273
2022-02-11,Air India,AI,764,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,16,Afternoon,1630,1,61273
2022-02-11,Vistara,UK,707,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,17,Evening,360,1,63737
2022-02-11,Vistara,UK,707,Delhi,Mumbai,,Delhi-Mumbai,1,13,Afternoon,17,Evening,1170,1,63737
2022-02-11,Vistara,UK,707,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,17,Evening,1610,1,63737
2022-02-11,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,19,Evening,745,1,74640
2022-02-11,Vistara,UK,813,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,17,Evening,880,1,74640
2022-02-11,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,19,Evening,1465,1,74640
2022-02-11,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,19,Evening,1560,1,74640
2022-02-11,Vistara,UK,813,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,17,Evening,1600,1,74640
2022-02-11,Vistara,UK,813,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,17,Evening,1695,1,74640
2022-02-11,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,19,Evening,935,1,76768
2022-02-11,Vistara,UK,813,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,17,Evening,1070,1,76768
2022-02-11,Vistara,UK,837,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,17,Evening,1095,1,78376
2022-02-12,Vistara,UK,953,Delhi,Mumbai,,Delhi-Mumbai,0,22,Night,20,Night,130,2,25736
2022-02-12,Air India,AI,868,Delhi,Mumbai,,Delhi-Mumbai,0,20,Night,18,Evening,120,2,25612
2022-02-12,Air India,AI,887,Delhi,Mumbai,,Delhi-Mumbai,0,9,Morning,7,Morning,125,2,25612
2022-02-12,Air India,AI,665,Delhi,Mumbai,,Delhi-Mumbai,0,10,Morning,8,Morning,130,2,25612
2022-02-12,Air India,AI,805,Delhi,Mumbai,,Delhi-Mumbai,0,22,Night,20,Night,130,2,25612
2022-02-12,Air India,AI,678,Delhi,Mumbai,,Delhi-Mumbai,0,11,Morning,9,Morning,135,2,25612
2022-02-12,Air India,AI,624,Delhi,Mumbai,,Delhi-Mumbai,0,21,Night,19,Evening,135,2,25612
2022-02-12,Air India,AI,636,Delhi,Mumbai,IDR,Delhi-Mumbai,1,18,Evening,14,Afternoon,210,2,25612
2022-02-12,Air India,AI,441,Delhi,Mumbai,IXU,Delhi-Mumbai,1,21,Night,17,Evening,225,2,25612
2022-02-12,Air India,AI,435,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,5,Late_Night,1050,2,36496
2022-02-12,Air India,AI,531,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,20,Night,1485,2,37286
2022-02-12,Vistara,UK,683,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,13,Afternoon,1535,2,37682
2022-02-12,Air India,AI,403,Delhi,Mumbai,,Delhi-Mumbai,1,19,Evening,12,Afternoon,380,2,37617
2022-02-12,Vistara,UK,977,Delhi,Mumbai,,Delhi-Mumbai,0,21,Night,19,Evening,135,2,40296
2022-02-12,Vistara,UK,963,Delhi,Mumbai,,Delhi-Mumbai,0,11,Morning,8,Morning,140,2,40296
2022-02-12,Vistara,UK,955,Delhi,Mumbai,,Delhi-Mumbai,0,20,Night,17,Evening,140,2,40296
2022-02-12,Air India,AI,411,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,7,Morning,480,2,40582
2022-02-12,Air India,AI,811,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,18,Evening,1235,2,40582
2022-02-12,Air India,AI,453,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,4,Late_Night,605,2,42252
2022-02-12,Vistara,UK,637,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,17,Evening,265,2,43964
2022-02-12,Vistara,UK,927,Delhi,Mumbai,,Delhi-Mumbai,0,11,Morning,9,Morning,125,2,44328
2022-02-12,Air India,AI,483,Delhi,Mumbai,,Delhi-Mumbai,1,16,Afternoon,16,Afternoon,1435,2,44060
2022-02-12,Air India,AI,544,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,17,Evening,400,2,44450
2022-02-12,Air India,AI,542,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,9,Morning,850,2,44450
2022-02-12,Air India,AI,560,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,8,Morning,945,2,44450
2022-02-12,Air India,AI,839,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,21,Night,1590,2,44450
2022-02-12,Vistara,UK,985,Delhi,Mumbai,,Delhi-Mumbai,0,22,Night,19,Evening,130,2,45896
2022-02-12,Air India,AI,406,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,10,Morning,290,2,46265
2022-02-12,Vistara,UK,829,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,7,Morning,420,2,47396
2022-02-12,Vistara,UK,871,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,20,Night,1075,2,47396
2022-02-12,Vistara,UK,879,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,17,Evening,1250,2,47396
2022-02-12,Vistara,UK,899,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,14,Afternoon,1425,2,47396
2022-02-12,Vistara,UK,871,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,20,Night,1585,2,47396
2022-02-12,Vistara,UK,627,Delhi,Mumbai,,Delhi-Mumbai,1,16,Afternoon,13,Afternoon,1600,2,48281
2022-02-12,Vistara,UK,945,Delhi,Mumbai,,Delhi-Mumbai,0,14,Afternoon,11,Morning,140,2,49256
2022-02-12,Air India,AI,451,Delhi,Mumbai,,Delhi-Mumbai,1,16,Afternoon,14,Afternoon,1535,2,50822
2022-02-12,Air India,AI,885,Delhi,Mumbai,,Delhi-Mumbai,1,0,Late_Night,10,Morning,795,2,50992
2022-02-12,Air India,AI,885,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,10,Morning,1285,2,50992
2022-02-12,Air India,AI,877,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,11,Morning,385,2,51059
2022-02-12,Air India,AI,473,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,18,Evening,1365,2,51059
2022-02-12,Vistara,UK,995,Delhi,Mumbai,,Delhi-Mumbai,0,12,Afternoon,10,Morning,135,2,51496
2022-02-12,Vistara,UK,673,Delhi,Mumbai,,Delhi-Mumbai,1,18,Evening,13,Afternoon,300,2,51641
2022-02-12,Air India,AI,429,Delhi,Mumbai,Chennai,Delhi-Mumbai,1,15,Afternoon,9,Morning,1805,2,53582
2022-02-12,Vistara,UK,879,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,17,Evening,320,2,56345
2022-02-12,Vistara,UK,899,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,14,Afternoon,495,2,56345
2022-02-12,Vistara,UK,859,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,10,Morning,755,2,56345
2022-02-12,Vistara,UK,829,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,7,Morning,930,2,56345
2022-02-12,Air India,AI,504,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,21,Night,1410,2,56081
2022-02-12,Air India,AI,807,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,17,Evening,1665,2,56081
2022-02-12,Air India,AI,429,Delhi,Mumbai,,Delhi-Mumbai,1,18,Evening,9,Morning,505,2,57074
2022-02-12,Air India,AI,540,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,20,Night,685,2,57074
2022-02-12,Air India,AI,439,Delhi,Mumbai,,Delhi-Mumbai,1,18,Evening,6,Morning,730,2,57074
2022-02-12,Air India,AI,537,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,16,Afternoon,950,2,57074
2022-02-12,Air India,AI,540,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,20,Night,1225,2,57074
2022-02-12,Air India,AI,537,Delhi,Mumbai,,Delhi-Mumbai,1,17,Evening,16,Afternoon,1490,2,57074
2022-02-12,Vistara,UK,839,Delhi,Mumbai,,Delhi-Mumbai,1,22,Night,13,Afternoon,545,2,57801
2022-02-12,Vistara,UK,833,Delhi,Mumbai,,Delhi-Mumbai,1,22,Night,7,Morning,925,2,57801
2022-02-12,Vistara,UK,817,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,16,Afternoon,345,2,57868
2022-02-12,Vistara,UK,819,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,14,Afternoon,360,2,57868
2022-02-12,Vistara,UK,819,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,14,Afternoon,455,2,57868
2022-02-12,Vistara,UK,801,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,9,Morning,670,2,57868
2022-02-12,Vistara,UK,815,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,8,Morning,730,2,57868
2022-02-12,Vistara,UK,809,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,19,Evening,745,2,57868
2022-02-12,Vistara,UK,801,Delhi,Mumbai,,Delhi-Mumbai,1,21,Night,9,Morning,765,2,57868
