date,airline,ch_code,flight_number,from,to,via_city,route,stop_count,arr_hour,arr_period,dep_hour,dep_period,duration_mins,price
2022-02-11,SpiceJet,SG,8709,Delhi,Mumbai,,Delhi-Mumbai,0,21,Night,18,Evening,130,5953
2022-02-11,SpiceJet,SG,8157,Delhi,Mumbai,,Delhi-Mumbai,0,8,Morning,6,Morning,140,5953
2022-02-11,AirAsia,I5,764,Delhi,Mumbai,,Delhi-Mumbai,0,6,Morning,4,Late_Night,130,5956
2022-02-11,Vistara,UK,995,Delhi,Mumbai,,Delhi-Mumbai,0,12,Afternoon,10,Morning,135,5955
2022-02-11,Vistara,UK,963,Delhi,Mumbai,,Delhi-Mumbai,0,11,Morning,8,Morning,140,5955
2022-02-11,Vistara,UK,945,Delhi,Mumbai,,Delhi-Mumbai,0,14,Afternoon,11,Morning,140,5955
2022-02-11,Vistara,UK,927,Delhi,Mumbai,,Delhi-Mumbai,0,11,Morning,9,Morning,125,6060
2022-02-11,Vistara,UK,951,Delhi,Mumbai,,Delhi-Mumbai,0,16,Afternoon,14,Afternoon,130,6060
2022-02-11,GO FIRST,G8,334,Delhi,Mumbai,,Delhi-Mumbai,0,10,Morning,8,Morning,130,5954
2022-02-11,GO FIRST,G8,336,Delhi,Mumbai,,Delhi-Mumbai,0,16,Afternoon,14,Afternoon,135,5954
2022-02-11,GO FIRST,G8,392,Delhi,Mumbai,,Delhi-Mumbai,0,17,Evening,15,Afternoon,135,5954
2022-02-11,GO FIRST,G8,338,Delhi,Mumbai,,Delhi-Mumbai,0,12,Afternoon,10,Morning,140,5954
2022-02-11,Indigo,6E,5001,Delhi,Mumbai,,Delhi-Mumbai,0,9,Morning,7,Morning,130,5955
2022-02-11,Indigo,6E,6202,Delhi,Mumbai,,Delhi-Mumbai,0,14,Afternoon,12,Afternoon,130,5955
2022-02-11,Indigo,6E,549,Delhi,Mumbai,,Delhi-Mumbai,0,16,Afternoon,14,Afternoon,135,5955
2022-02-11,Indigo,6E,6278,Delhi,Mumbai,,Delhi-Mumbai,0,11,Morning,8,Morning,140,5955
2022-02-11,Air India,AI,887,Delhi,Mumbai,,Delhi-Mumbai,0,9,Morning,7,Morning,125,5955
2022-02-11,Air India,AI,665,Delhi,Mumbai,,Delhi-Mumbai,0,10,Morning,8,Morning,130,5955
2022-02-11,AirAsia,I5,747,Delhi,Mumbai,,Delhi-Mumbai,1,7,Morning,19,Evening,735,5949
2022-02-11,AirAsia,I5,747,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,19,Evening,980,5949
2022-02-11,GO FIRST,G8,266,Delhi,Mumbai,,Delhi-Mumbai,1,18,Evening,6,Morning,705,5954
2022-02-11,GO FIRST,G8,101,Delhi,Mumbai,,Delhi-Mumbai,1,20,Night,5,Late_Night,870,5954
2022-02-11,GO FIRST,G8,103,Delhi,Mumbai,,Delhi-Mumbai,1,11,Morning,19,Evening,940,5954
2022-02-11,Air India,AI,441,Delhi,Mumbai,IXU,Delhi-Mumbai,1,21,Night,17,Evening,225,5955
2022-02-11,Indigo,6E,5328,Delhi,Mumbai,,Delhi-Mumbai,0,12,Afternoon,9,Morning,150,6165
2022-02-11,Vistara,UK,933,Delhi,Mumbai,,Delhi-Mumbai,0,17,Evening,15,Afternoon,130,6690
2022-02-11,Indigo,6E,2046,Delhi,Mumbai,,Delhi-Mumbai,0,19,Evening,17,Evening,130,6585
2022-02-11,AirAsia,I5,744,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,8,Morning,350,8869
2022-02-11,SpiceJet,SG,8169,Delhi,Mumbai,,Delhi-Mumbai,0,22,Night,19,Evening,140,10260
2022-02-11,Indigo,6E,5041,Delhi,Mumbai,,Delhi-Mumbai,0,20,Night,18,Evening,130,10470
2022-02-11,GO FIRST,G8,165,Delhi,Mumbai,,Delhi-Mumbai,1,14,Afternoon,6,Morning,480,10575
2022-02-11,Indigo,6E,2373,Delhi,Mumbai,,Delhi-Mumbai,1,19,Evening,13,Afternoon,360,10838
2022-02-11,Vistara,UK,813,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,17,Evening,880,12150
2022-02-11,Vistara,UK,817,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,16,Afternoon,970,12150
2022-02-11,Vistara,UK,819,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,14,Afternoon,1080,12150
2022-02-11,Vistara,UK,801,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,9,Morning,1390,12150
2022-02-11,Vistara,UK,815,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,8,Morning,1450,12150
2022-02-11,Air India,AI,453,Delhi,Mumbai,,Delhi-Mumbai,1,13,Afternoon,4,Late_Night,530,11900
2022-02-11,SpiceJet,SG,2976,Delhi,Mumbai,,Delhi-Mumbai,1,23,Night,19,Evening,270,12123
2022-02-11,SpiceJet,SG,2976,Delhi,Mumbai,,Delhi-Mumbai,1,10,Morning,19,Evening,915,12123
2022-02-11,Air India,AI,504,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,21,Night,660,12150
2022-02-11,Air India,AI,502,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,13,Afternoon,1145,12150
2022-02-11,Air India,AI,506,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,9,Morning,1370,12150
2022-02-11,Air India,AI,803,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,6,Morning,1585,12150
2022-02-11,Air India,AI,479,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,21,Night,1065,12215
2022-02-11,SpiceJet,SG,339,Delhi,Mumbai,,Delhi-Mumbai,1,12,Afternoon,17,Evening,1175,12230
2022-02-11,Vistara,UK,955,Delhi,Mumbai,,Delhi-Mumbai,0,20,Night,17,Evening,140,12780
2022-02-11,Vistara,UK,627,Delhi,Mumbai,,Delhi-Mumbai,1,16,Afternoon,13,Afternoon,1600,12885
2022-02-11,AirAsia,I5,784,Delhi,Mumbai,,Delhi-Mumbai,1,7,Morning,16,Afternoon,910,12539
2022-02-11,Air India,AI,9643,Delhi,Mumbai,,Delhi-Mumbai,1,15,Afternoon,19,Evening,1250,12938
2022-02-11,Air India,AI,540,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,20,Night,685,12990
2022-02-11,Air India,AI,429,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,9,Morning,1335,12990
2022-02-11,Air India,AI,439,Delhi,Mumbai,,Delhi-Mumbai,1,8,Morning,6,Morning,1560,12990
